-25,-98,-12,1,11,10,6
27,-97,-13,2,11,10,6
24,32,-18,3,7,9,8
-56,-45,-24,4,1,1,1
8,41,-24,5,7,7,5
-21,-22,-20,6,11,2,9
17,-28,-17,7,2,3,2
-37,-29,-26,8,11,4,6
65,-24,-19,9,9,7,5
52,-34,-27,10,3,5,3
55,-31,-17,11,9,7,5
34,38,-12,12,7,9,8
-7,-52,61,13,4,11,11
-14,-18,40,14,5,6,11
0,-15,47,15,4,6,11
10,-2,45,16,5,6,11
-7,-21,65,17,4,6,11
-7,-33,72,18,4,6,11
13,-33,75,19,4,6,11
-54,-23,43,20,4,11,11
29,-17,71,21,4,6,11
10,-46,73,22,4,6,11
-23,-30,72,23,4,6,11
-40,-19,54,24,4,6,11
29,-39,59,25,4,6,11
50,-20,42,26,4,6,4
-38,-27,69,27,4,6,11
20,-29,60,28,4,6,11
44,-8,57,29,5,6,4
-29,-43,61,30,4,11,11
10,-17,74,31,4,6,11
22,-42,69,32,4,6,11
-45,-32,47,33,4,11,11
-21,-31,61,34,4,6,11
-13,-17,75,35,4,6,11
42,-20,55,36,4,6,11
-38,-15,69,37,4,6,11
-16,-46,73,38,4,6,11
2,-28,60,39,4,6,11
3,-17,58,40,4,6,11
38,-17,45,41,5,6,4
-49,-11,35,42,5,6,4
36,-9,14,43,5,6,4
51,-6,32,44,5,6,4
-53,-10,24,45,5,6,4
66,-8,25,46,5,6,4
-3,2,53,47,5,9,8
54,-28,34,48,4,11,11
19,-8,64,49,4,6,11
-16,-5,71,50,4,6,11
-10,-2,42,51,5,6,11
37,1,-4,52,5,9,8
13,-1,70,53,4,9,8
7,8,51,54,5,9,8
-45,0,9,55,5,6,4
49,8,-1,56,5,9,8
-34,3,4,57,5,9,8
-51,8,-2,58,5,9,8
-5,18,34,59,5,9,8
36,10,1,60,5,9,8
32,-26,13,61,5,6,4
65,-33,20,62,5,6,4
58,-16,7,63,5,6,4
-38,-33,17,64,5,6,4
-60,-25,14,65,5,6,4
-49,-26,5,66,5,6,4
43,-23,20,67,5,6,4
-50,-34,26,68,5,6,4
-53,-22,23,69,5,6,4
-55,-9,12,70,5,6,4
