24,32,-18,3,3,2
-21,-22,-20,6,3,5
17,-28,-17,7,3,5
34,38,-12,12,3,2
-7,-52,61,13,1,1
-14,-18,40,14,1,1
0,-15,47,15,1,1
10,-2,45,16,1,1
-7,-21,65,17,1,1
-7,-33,72,18,1,1
13,-33,75,19,1,1
-54,-23,43,20,1,1
29,-17,71,21,1,1
10,-46,73,22,1,1
-23,-30,72,23,1,1
-40,-19,54,24,1,1
29,-39,59,25,1,1
50,-20,42,26,1,1
-38,-27,69,27,1,1
20,-29,60,28,1,1
44,-8,57,29,1,1
-29,-43,61,30,1,1
10,-17,74,31,1,1
22,-42,69,32,1,1
-45,-32,47,33,1,1
-21,-31,61,34,1,1
-13,-17,75,35,1,1
42,-20,55,36,1,1
-38,-15,69,37,1,1
-16,-46,73,38,1,1
2,-28,60,39,1,1
3,-17,58,40,1,1
38,-17,45,41,1,1
-49,-11,35,42,1,1
36,-9,14,43,1,1
51,-6,32,44,1,1
-53,-10,24,45,1,1
-3,2,53,47,1,1
54,-28,34,48,1,1
19,-8,64,49,1,1
-16,-5,71,50,1,1
-10,-2,42,51,1,1
37,1,-4,52,4,4
13,-1,70,53,1,1
7,8,51,54,4,4
-45,0,9,55,1,1
49,8,-1,56,4,4
-34,3,4,57,4,4
-51,8,-2,58,4,4
-5,18,34,59,4,4
36,10,1,60,4,4
32,-26,13,61,1,1
65,-33,20,62,1,1
58,-16,7,63,1,1
-38,-33,17,64,1,1
-60,-25,14,65,1,1
-49,-26,5,66,1,1
43,-23,20,67,1,1
-50,-34,26,68,1,1
-53,-22,23,69,1,1
-55,-9,12,70,1,1
56,-5,13,71,1,1
59,-17,29,72,1,1
-30,-27,12,73,4,4
-41,-75,26,74,5,5
6,67,-4,75,3,3
8,48,-15,76,3,3
-13,-40,1,77,5,5
-18,63,-9,78,3,3
-46,-61,21,79,3,3
43,-72,28,80,3,3
-44,12,-34,81,3,3
46,16,-30,82,3,3
27,16,-17,85,3,3
-44,-65,35,86,3,3
-39,-75,44,87,3,3
-7,-55,27,88,3,3
6,-59,35,89,3,3
-11,-56,16,90,3,5
-3,-49,13,91,3,3
8,-48,31,92,3,3
15,-63,26,93,3,3
-2,-37,44,94,3,3
11,-54,17,95,3,3
52,-59,36,96,3,3
23,33,48,97,3,3
-10,39,52,98,3,3
-16,29,53,99,3,3
-35,20,51,100,3,3
22,39,39,101,3,3
13,55,38,102,3,3
-10,55,39,103,3,3
-20,45,39,104,3,3
6,54,16,105,3,3
6,64,22,106,3,3
-7,51,-1,107,3,3
9,54,3,108,3,3
-3,44,-9,109,3,3
8,42,-5,110,3,3
-11,45,8,111,3,3
-2,38,36,112,3,3
-3,42,16,113,4,3
-20,64,19,114,3,3
-8,48,23,115,3,3
-56,-13,-10,117,3,3
-58,-30,-4,118,3,3
-68,-41,-5,120,3,3
13,30,59,121,3,3
12,36,20,122,4,3
52,-2,-16,123,3,3
-26,-40,-8,124,5,5
27,-37,-13,125,3,5
-34,-38,-16,126,5,5
28,-77,-32,127,3,3
52,7,-30,128,3,3
-53,3,-27,129,3,3
47,-50,29,130,3,3
-49,-42,1,131,3,1
-31,19,-19,132,3,3
-2,-35,31,133,3,3
-7,-71,42,134,3,3
11,-66,42,135,3,3
4,-48,51,136,3,3
-46,31,-13,137,3,3
-10,11,67,138,4,4
49,35,-12,139,3,3
8,-91,-7,140,5,5
17,-91,-14,141,5,5
18,-47,-10,143,5,5
40,-72,14,144,5,5
8,-72,11,145,5,5
-8,-81,7,146,5,5
-28,-79,19,147,5,5
20,-66,2,148,5,5
-24,-91,19,149,5,5
27,-59,-9,150,5,5
-15,-72,-8,151,5,5
-18,-68,5,152,5,5
43,-78,-12,153,5,5
-47,-76,-10,154,5,5
-14,-91,31,155,5,5
15,-87,37,156,5,5
29,-77,25,157,5,5
20,-86,-2,158,5,5
15,-77,31,159,5,5
-16,-52,-1,160,5,5
42,-66,-8,161,5,5
24,-87,24,162,5,5
6,-72,24,163,5,5
-42,-74,0,164,5,5
26,-79,-16,165,5,5
-16,-77,34,166,5,5
-3,-81,21,167,5,5
-40,-88,-6,168,5,5
37,-84,13,169,5,5
6,-81,6,170,5,5
-26,-90,3,171,5,5
-33,-79,-13,172,5,5
37,-81,1,173,5,5
-44,2,46,174,2,2
48,25,27,175,2,2
-47,11,23,176,2,2
-53,-49,43,177,3,3
-23,11,64,178,3,3
58,-53,-14,179,2,2
24,45,-15,180,3,2
-18,-76,-24,183,3,3
17,-80,-34,184,3,3
35,-67,-34,185,3,3
47,10,33,186,2,2
-41,6,33,187,2,2
-42,38,21,188,3,2
38,43,15,189,4,4
49,-42,45,190,2,2
-28,-58,48,191,2,2
44,-53,47,192,3,3
32,14,56,193,3,3
37,-65,40,194,3,3
-42,-55,45,195,3,3
40,18,40,196,3,3
-34,55,4,197,3,3
-42,45,-2,198,3,3
33,-53,44,199,2,2
43,49,-2,200,3,3
-42,25,30,201,3,3
-3,26,44,202,4,3
11,-39,50,203,1,1
55,-45,37,204,4,4
42,0,47,205,2,2
31,33,26,206,4,4
48,22,10,207,3,3
-35,20,0,208,4,4
36,22,3,209,4,4
37,32,-2,210,4,4
34,16,-8,211,4,4
-11,26,25,212,4,4
-1,15,44,213,4,4
-28,52,21,214,4,3
0,30,27,215,4,4
5,23,37,216,4,4
10,22,27,217,4,4
31,56,14,218,4,3
26,50,27,219,4,4
-39,51,17,220,3,3
2,-24,30,221,3,3
6,-24,0,222,4,4
-2,-13,12,223,4,4
-10,-18,7,224,4,4
12,-17,8,225,4,4
-5,-28,-4,226,4,4
-22,7,-5,227,4,4
-15,4,8,228,4,4
31,-14,2,229,4,4
23,10,1,230,4,4
29,1,4,231,4,4
-31,-11,0,232,4,4
15,5,7,233,4,4
9,-4,6,234,4,4
54,-43,22,235,1,1
-56,-50,10,236,1,1
-55,-40,14,237,1,1
52,-33,8,238,1,1
51,-29,-4,239,3,3
56,-46,11,240,1,1
53,33,1,241,3,3
-49,25,-1,242,4,4
-16,-65,-20,243,6,6
-32,-55,-25,244,6,6
22,-58,-23,245,6,6
1,-62,-18,246,6,6
10,-62,61,251,2,2
-52,-63,5,252,5,5
-47,-51,-21,253,5,5
46,-47,-17,254,5,5
47,-30,49,255,1,1
22,-65,48,256,2,2
46,-59,4,257,5,5
25,-58,60,258,5,5
-33,-46,47,259,2,2
-27,-71,37,260,5,5
-32,-1,54,261,2,2
-42,-60,-9,262,5,5
-17,-59,64,263,1,1
29,-5,54,264,2,2
